Serial;Model;Year;Km;Color;Gear;Fuel type;Price
156;1.6 TS Distinctive;13;180000;Champagne;Manual;Benzine & LPG;43500
156;1.6 TS Distinctive;13;146000;Champagne;Manual;Benzine & LPG;49950
156;1.6 TS;19;305000;Black;Manual;Benzine;25500
147;1.6 TS Distinctive;15;220000;Black;Manual;Benzine;25750
146;1.6 L;21;200000;Black;Manual;Benzine;18500
Giulietta;1.4 TB Distinctive;8;122000;Black;Manual;Benzine;68500
147;1.6 TS Distinctive;16;193400;Black;Manual;Benzine;29800
GT;2.0 JTS Distinctive;11;59000;Black;Manual;Benzine;81750
Giulietta;1.4 TB Progression Plus;8;139250;Black;Manual;Benzine;73000
Giulietta;1.4 TB Progression Plus;8;141500;Black;Manual;Benzine;71750
GT;2.0 JTS Distinctive;11;170000;Black;Manual;Benzine;61500
159;1.9 JTS Distinctive;13;158000;Black;Manual;Benzine;50000
GT;2.0 JTS Distinctive;13;87500;Black;Manual;Benzine;76500
MiTo;1.4 T Distinctive;9;163000;Black;Manual;Benzine;52500
156;1.6 TS Distinctive;14;210000;Black;Manual;Benzine;34900
GT;2.0 JTS Distinctive;13;168000;Black;Manual;Benzine;54000
159;1.9 JTS Distinctive;11;212028;Black;Manual;Benzine;43500
145;44652;22;205000;Black;Manual;Benzine;9250
Giulietta;1.4 TB MultiAir Distinctive;6;112000;Black;Semi Automatic;Benzine;91000
Giulietta;1.4 TB MultiAir Progression Pluse;7;110000;Black;Semi Automatic;Benzine;87000
Giulietta;1.4 TB MultiAir Distinctive;4;70000;Black;Semi Automatic;Benzine;120000
GT;2.0 JTS Dis.Selespeed;11;200000;Black;Semi Automatic;Benzine;58000
GT;2.0 JTS Dis.Selespeed;11;184600;Black;Semi Automatic;Benzine;58500
GT;2.0 JTS Dis.Selespeed;11;149000;Black;Semi Automatic;Benzine;65000
147;1.6 TS Distinctive;14;207000;Black;Manual;Benzine & LPG;32000
156;1.6 TS Distinctive;15;195000;Black;Manual;Benzine & LPG;48500
156;1.6 TS Distinctive;13;247000;Black;Manual;Benzine & LPG;42000
75;2.0 Twin Spark;28;182000;Black;Manual;Benzine & LPG;26999
147;1.6 TS Distinctive;15;223000;Black;Manual;Benzine & LPG;30000
156;1.6 TS Distinctive;15;271000;Black;Manual;Benzine & LPG;29500
156;2.0 TS;20;280000;Black;Manual;Benzine & LPG;30000
156;1.6 TS;13;253000;Black;Manual;Benzine & LPG;37500
156;2.0 JTS  Distinctive;15;300000;Black;Manual;Benzine & LPG;30750
146;1.4 TS Ritmo;19;255000;Black;Manual;Benzine & LPG;20250
147;1.6 TS Distinctive;13;218000;Black;Manual;Benzine & LPG;34250
156;1.6 TS Distinctive;15;258200;Black;Manual;Benzine & LPG;41000
147;1.6 TS Distinctive;14;233000;Black;Manual;Benzine & LPG;29500
147;1.6 TS Distinctive;13;135000;Black;Manual;Benzine & LPG;35500
145;44713;22;230000;Black;Manual;Benzine & LPG;15500
166;2.0 TB;20;6500;Black;Manual;Benzine & LPG;43000
156;2.0 TS Selespeed;17;238000;Black;Manual;Benzine & LPG;27500
156;1.6 TS Distinctive;13;189500;Black;Manual;Benzine & LPG;42000
156;1.6 TS Distinctive;15;167000;Black;Manual;Benzine & LPG;45000
156;1.6 TS Progression;14;295000;Black;Manual;Benzine & LPG;32500
147;1.6 TS Distinctive;13;260000;Black;Manual;Benzine & LPG;39500
147;1.6 TS Distinctive;16;195000;Black;Manual;Benzine & LPG;32900
156;1.6 TS Progression;14;223000;Black;Manual;Benzine & LPG;38500
147;1.6 TS Distinctive;14;207000;Black;Manual;Benzine & LPG;37500
156;1.6 TS Distinctive;14;278000;Black;Manual;Benzine & LPG;27000
166;2.0 TS Distinctive;14;262000;Black;Manual;Benzine & LPG;55650
156;1.6 TS Distinctive;14;272000;Black;Manual;Benzine & LPG;22000
146;1.6 TS;20;146000;Black;Manual;Benzine & LPG;17500
156;1.6 TS Distinctive;15;258000;Black;Manual;Benzine & LPG;30700
147;1.6 TS Distinctive;13;260000;Black;Manual;Benzine & LPG;37500
156;2.0 TS;21;278000;Black;Manual;Benzine & LPG;24500
156;2.0 TS Executive;20;330000;Black;Manual;Benzine & LPG;24000
156;1.6 TS Progression;13;305000;Black;Manual;Benzine & LPG;35000
156;1.6 TS Progression;15;215100;Black;Manual;Benzine & LPG;33500
147;1.6 TS Distinctive;13;186300;Black;Manual;Benzine & LPG;41250
156;1.6 TS;13;230000;Black;Manual;Benzine & LPG;36500
147;1.6 TS Distinctive;12;164000;Black;Manual;Benzine & LPG;43750
156;1.6 TS Distinctive;13;227000;Black;Manual;Benzine & LPG;33000
156;1.6 TS Distinctive;14;160000;Black;Manual;Benzine & LPG;47950
156;1.6 TS Distinctive;15;220000;Black;Manual;Benzine & LPG;42500
147;1.6 TS Distinctive;13;179000;Black;Manual;Benzine & LPG;29500
156;1.6 TS Distinctive;15;193000;Black;Manual;Benzine & LPG;41300
156;1.6 TS Distinctive;15;197500;Black;Manual;Benzine & LPG;41500
146;1.4 TS;18;229000;Black;Manual;Benzine & LPG;16500
156;2.0 TS Executive;21;292000;Black;Manual;Benzine & LPG;29500
156;1.6 TS Distinctive;18;185000;Black;Manual;Benzine & LPG;23000
147;1.6 TS Distinctive;13;163050;Black;Manual;Benzine & LPG;34500
156;1.6 TS Distinctive;14;216400;Black;Manual;Benzine & LPG;38500
156;1.6 TS Distinctive;15;297000;Black;Manual;Benzine & LPG;35250
156;2.0 TS;20;265000;Black;Manual;Benzine & LPG;32000
147;1.6 TS Distinctive;13;206000;Black;Manual;Benzine & LPG;41700
156;1.6 TS;18;219000;Black;Manual;Benzine & LPG;25000
147;1.6 TS Distinctive;14;281145;Black;Manual;Benzine & LPG;38000
156;1.6 TS;18;305000;Black;Manual;Benzine & LPG;19500
147;1.6 TS Distinctive;15;240000;Black;Manual;Benzine & LPG;33000
156;1.6 TS Distinctive;15;266000;Black;Manual;Benzine & LPG;32000
145;44743;24;222000;Black;Manual;Benzine & LPG;22750
156;1.6 TS Progression;15;266000;Black;Manual;Benzine & LPG;26750
156;2.0 JTS  Distinctive;15;327000;Black;Semi Automatic;Benzine & LPG;38750
Giulietta;1.4 TB MultiAir Distinctive;7;107500;Black;Semi Automatic;Benzine & LPG;99000
156;2.0 JTS  Distinctive;14;240000;Black;Semi Automatic;Benzine & LPG;42500
159;1.9 JTD Distinctive;12;218000;Black;Manual;Diesel;55000
Giulietta;1.6 JTD Distinctive;8;159000;Black;Manual;Diesel;80750
Giulietta;1.6 JTD Distinctive;6;124000;Black;Manual;Diesel;84500
Giulietta;1.6 JTD Distinctive;5;111000;Black;Manual;Diesel;87750
Giulietta;1.6 JTD Distinctive;4;117500;Black;Manual;Diesel;91750
Giulietta;1.6 JTD Progression Plus;7;86000;Black;Manual;Diesel;69900
Giulietta;1.6 JTD Distinctive;6;125000;Black;Manual;Diesel;62000
Giulietta;1.6 JTD Distinctive;6;35000;Black;Manual;Diesel;78500
MiTo;1.6 JTD Distinctive;10;150000;Black;Manual;Diesel;60000
Giulietta;1.6 JTD Distinctive;6;112000;Black;Manual;Diesel;71000
159;1.9 JTD Distinctive;13;229000;Black;Manual;Diesel;55000
GT;1.9 JTD Q2;13;76000;Black;Manual;Diesel;86750
159;1.9 JTD Distinctive;13;318000;Black;Manual;Diesel;44700
MiTo;1.3 JTD City;5;89000;Black;Manual;Diesel;91900
159;1.9 JTD Distinctive Plus;11;188000;Black;Manual;Diesel;65000
159;1.9 JTD Distinctive;13;280000;Black;Manual;Diesel;57500
MiTo;1.6 JTD Progression;10;157000;Black;Manual;Diesel;62500
159;1.9 JTD Distinctive Plus;8;215000;Black;Semi Automatic;Diesel;88750
159;1.9 JTD Distinctive Plus;11;255000;Black;Semi Automatic;Diesel;61000
Giulietta;1.6 JTD Progression;1;51500;Black;Semi Automatic;Diesel;134900
Giulietta;1.6 JTD Progression;2;37000;Black;Semi Automatic;Diesel;136500
159;1.9 JTD Distinctive Plus;11;210000;Black;Semi Automatic;Diesel;59900
159;1.9 JTD Progression;10;85000;Black;Semi Automatic;Diesel;83000
159;1.9 JTD Distinctive Plus;11;199000;Black;Semi Automatic;Diesel;60750
159;1.9 JTD Distinctive Plus;8;280000;Black;Semi Automatic;Diesel;90000
159;1.9 JTD Distinctive Plus;12;221500;Black;Automatic;Diesel;63000
159;1.9 JTD Distinctive Plus;12;224000;Black;Automatic;Diesel;71000
159;1.9 JTD Distinctive;12;200000;Black;Automatic;Diesel;60000
159;1.9 JTD Distinctive;11;180000;Black;Automatic;Diesel;94000
159;1.9 JTD Distinctive;11;217000;Black;Automatic;Diesel;75000
